"Spell","count"
"accio",30
"aguamenti",7
"alohomora",9
"aparecium",1
"avadakedavra",21
"avis",1
"caveinimicum",2
"colloportus",2
"confundus",2
"conjunctivitis",1
"crucio",11
"densaugeo",1
"deprimo",1
"diffindo",6
"dissendium",3
"duro",1
"eatslugs",1
"engorgio",2
"episkey",2
"erecto",1
"expectopatronum",26
"expelliarmus",16
"expulso",1
"ferula",1
"fidelius",6
"finite",2
"flagrate",1
"furnunculus",2
"geminio",1
"glisseo",1
"homenumrevelio",2
"impedimenta",8
"imperio",7
"impervius",5
"incarcerous",1
"incendio",1
"langlock",1
"legilimens",7
"levicorpus",4
"liberacorpus",2
"locomotormortis",1
"lumos",19
"meteolojinxrecanto",2
"mobiliarbus",1
"mobilicorpus",1
"muffliato",9
"nox",2
"obliviate",4
"obscuro",1
"oppugno",1
"petrificustotalus",8
"piertotumlocomotor",1
"pointme",2
"priorincantato",1
"protego",7
"protegohorribilis",1
"protegototalum",1
"quietus",1
"reducio",2
"reducto",4
"relashio",3
"rennervate",3
"reparo",9
"repellomuggletum",1
"rictusempra",1
"riddikulus",11
"salviohexia",1
"sectumsempra",7
"serpensortia",1
"silencio",6
"sonorus",1
"specialisrevelio",2
"stupefy",16
"tarantallegra",1
"tergeo",3
"waddiwasi",1
"wingardiumleviosa",6
