Month,Harry Potter,Lord Voldemort,Hermione Granger,Sirius Black,Albus Dumbledore,Draco Malfoy,Cho Chang,Ron Weasley,Severus Snape
2004-01,20,3,14,6,3,10,4,7,10
2004-02,19,2,12,4,2,10,5,6,9
2004-03,20,2,13,5,2,10,3,6,10
2004-04,20,3,16,4,2,11,3,7,10
2004-05,26,2,22,5,3,13,6,8,10
2004-06,48,4,48,9,4,21,9,15,15
2004-07,32,4,31,5,3,16,5,12,14
2004-08,25,5,22,4,2,13,4,9,12
2004-09,19,2,18,4,2,11,2,7,10
2004-10,19,2,15,4,2,11,2,6,10
2004-11,20,2,16,3,2,10,2,6,8
2004-12,22,2,20,4,2,13,2,10,9
2005-01,22,2,18,3,2,12,2,8,9
2005-02,19,2,14,3,1,10,1,7,8
2005-03,18,2,14,2,2,11,2,6,8
2005-04,18,2,13,3,1,9,3,7,8
2005-05,21,2,15,3,2,11,3,7,9
2005-06,22,3,17,2,2,12,2,7,9
2005-07,51,7,29,7,27,18,4,14,35
2005-08,34,7,25,4,14,18,5,12,19
2005-09,26,6,19,3,7,12,3,9,11
2005-10,30,6,24,3,7,14,3,10,11
2005-11,53,15,40,4,8,18,9,16,14
2005-12,50,10,39,5,8,18,4,16,14
2006-01,30,5,26,4,6,13,2,11,12
2006-02,25,4,18,2,5,9,1,9,9
2006-03,25,4,19,3,4,10,1,9,9
2006-04,24,4,19,2,4,10,1,8,8
2006-05,20,4,16,2,4,9,1,7,7
2006-06,19,3,16,2,3,9,1,7,7
2006-07,19,3,15,2,3,9,1,7,7
2006-08,18,3,14,2,4,10,1,7,8
2006-09,16,3,13,2,3,8,1,5,6
2006-10,16,3,14,2,2,7,1,6,6
2006-11,19,3,12,1,3,8,1,6,6
2006-12,22,3,14,2,3,8,1,6,6
2007-01,20,3,12,2,3,7,1,6,6
2007-02,19,3,12,1,3,8,1,5,6
2007-03,17,2,12,1,2,7,1,5,5
2007-04,21,3,12,2,3,7,1,5,6
2007-05,22,3,13,2,4,7,1,6,6
2007-06,27,4,16,2,5,8,1,7,7
2007-07,100,17,48,8,18,18,5,27,28
2007-08,52,9,26,4,8,14,2,17,17
2007-09,29,4,16,2,4,9,1,9,10
2007-10,27,5,16,2,33,8,1,8,8
2007-11,24,5,15,2,9,7,1,8,7
2007-12,27,6,17,2,7,8,1,9,8
2008-01,24,5,15,2,5,8,1,8,8
2008-02,19,4,13,2,4,7,1,7,7
2008-03,20,4,14,2,4,7,<1,7,7
2008-04,18,3,14,1,3,7,<1,6,6
2008-05,20,3,13,1,3,7,1,6,6
2008-06,18,3,12,1,3,7,<1,6,6
2008-07,20,4,13,2,4,7,1,7,7
2008-08,20,4,12,2,3,7,1,7,7
2008-09,16,3,10,1,3,6,<1,5,5
2008-10,16,3,11,1,3,7,<1,5,5
2008-11,18,3,12,1,3,6,<1,5,5
2008-12,20,3,13,1,3,6,1,6,6
2009-01,19,3,12,2,3,6,1,6,5
2009-02,16,3,10,1,3,6,<1,5,5
2009-03,17,3,10,1,3,6,<1,5,5
2009-04,16,3,10,1,3,6,<1,5,5
2009-05,16,3,10,1,3,6,1,5,5
2009-06,21,4,12,1,4,7,1,7,6
2009-07,72,14,38,4,19,21,2,24,21
2009-08,34,8,19,2,8,12,1,11,11
2009-09,20,5,17,1,4,7,1,11,6
2009-10,19,4,13,1,4,7,1,7,6
2009-11,20,4,11,1,4,7,1,6,6
2009-12,22,5,14,1,5,8,1,7,7
2010-01,18,5,11,1,4,7,1,6,6
2010-02,15,4,10,1,4,6,<1,6,5
2010-03,15,4,9,1,3,5,<1,5,6
2010-04,15,4,10,1,3,5,<1,5,7
2010-05,16,4,11,1,4,6,<1,5,7
2010-06,17,5,10,1,4,6,<1,6,6
2010-07,24,7,12,2,5,8,1,8,11
2010-08,22,6,12,2,4,7,1,7,7
